class_name,count,avg_confidence,max_confidence,min_confidence,avg_box_area
person,3874,0.5661,0.9527,0.25,116732.7
chair,105,0.3182,0.6015,0.2511,20504.09
tv,104,0.3541,0.5488,0.2514,25532.37
sports ball,43,0.3949,0.7434,0.2506,11115.44
clock,25,0.3963,0.5482,0.2513,17402.36
frisbee,24,0.3886,0.6191,0.2599,14875.91
car,21,0.309,0.3914,0.2632,30444.19
traffic light,19,0.3923,0.5862,0.2694,29845.72
baseball glove,18,0.4625,0.7488,0.3244,13604.41
cup,10,0.3152,0.4071,0.257,4958.87
orange,9,0.3647,0.4522,0.2585,13543.19
bench,5,0.3433,0.3776,0.2973,108010.49
umbrella,4,0.4991,0.706,0.2837,211833.71
bowl,4,0.3274,0.3915,0.2656,40523.17
bottle,3,0.3457,0.3832,0.2832,4689.7
bicycle,3,0.6864,0.6892,0.6837,8885.29
tennis racket,2,0.4671,0.5933,0.3408,9089.03
donut,2,0.4226,0.4886,0.3566,11410.58
train,1,0.2753,0.2753,0.2753,1874172.35
